會計項目,2017年01月01日至2017年06月30日,2016年01月01日至2016年06月30日
現金流量表,,
營業活動之現金流量－間接法,,
繼續營業單位稅前淨利（淨損）,309336,318388
本期稅前淨利（淨損）,309336,318388
調整項目,,
收益費損項目,,
折舊費用,36661,44752
攤銷費用,4745,5573
呆帳費用提列（轉列收入）數,-15525,3322
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,14001,4554
利息費用,17236,19774
利息收入,-9674,-19304
股利收入,-11760,-7171
採用權益法認列之關聯企業及合資損失（利益）之份額,-52771,-62396
處分及報廢不動產、廠房及設備損失（利益）,508,-11419
處分待出售非流動資產損失（利益）,0,-54018
處分投資損失（利益）,-4550,-4415
處分採用權益法之投資損失（利益）,60,0
金融資產減損損失,5000,0
金融資產減損迴轉利益,0,-3506
非金融資產減損損失,45,0
非金融資產減損迴轉利益,0,-947
未實現銷貨利益（損失）,48844,30891
已實現銷貨損失（利益）,-48191,-30616
其他項目,-7541,-1395
收益費損項目合計,-22912,-86321
與營業活動相關之資產／負債變動數,,
與營業活動相關之資產之淨變動,,
持有供交易之金融資產（增加）減少,-8230,253
應收票據（增加）減少,52863,-7695
應收帳款（增加）減少,99976,5676
其他應收款（增加）減少,805565,-608644
存貨（增加）減少,-58842,1384
預付款項（增加）減少,-134,2567
其他流動資產（增加）減少,-21197,-10037
其他營業資產（增加）減少,-4950,4245
與營業活動相關之資產之淨變動合計,865051,-612251
與營業活動相關之負債之淨變動,,
持有供交易之金融負債增加（減少）,0,-3817
應付票據增加（減少）,7251,2093
應付帳款增加（減少）,-302181,-119501
其他應付款增加（減少）,-1519513,142126
其他流動負債增加（減少）,-36567,-1695
淨確定福利負債增加(減少),-663,-15388
其他營業負債增加（減少）,-2465,50833
與營業活動相關之負債之淨變動合計,-1854138,54651
與營業活動相關之資產及負債之淨變動合計,-989087,-557600
調整項目合計,-1011999,-643921
營運產生之現金流入（流出）,-702663,-325533
收取之利息,12874,17659
收取之股利,12967,2150
支付之利息,-10777,-6728
退還（支付）之所得稅,-57075,-32421
營業活動之淨現金流入（流出）,-744674,-344873
投資活動之現金流量,,
取得備供出售金融資產,0,-45000
處分備供出售金融資產,10517,7491
取得無活絡市場之債務工具投資,-465878,-714042
處分無活絡市場之債務工具投資,494467,356718
取得採用權益法之投資,-104000,-7204
處分子公司,2470,7345
處分待出售非流動資產,0,161613
取得不動產、廠房及設備,-15168,-13209
處分不動產、廠房及設備,8457,21650
存出保證金增加,-682,0
存出保證金減少,44323,11644
其他應收款減少,33747,0
取得無形資產,-500,-550
應收款項減少,9388,0
其他金融資產增加,0,-206034
其他金融資產減少,225130,0
其他非流動資產增加,-15753,-3075
投資活動之淨現金流入（流出）,226518,-422653
籌資活動之現金流量,,
短期借款增加,310000,337000
償還長期借款,-1488,-3123
存入保證金增加,190,0
存入保證金減少,0,-7
其他應付款－關係人增加,0,254250
取得子公司股權,-109870,-52366
籌資活動之淨現金流入（流出）,198832,535754
匯率變動對現金及約當現金之影響,47228,16407
本期現金及約當現金增加（減少）數,-272096,-215365
期初現金及約當現金餘額,2876766,2902808
期末現金及約當現金餘額,2604670,2687443
資產負債表帳列之現金及約當現金,2604670,2687443
